Zip,City,State,Latitude,Longitude,Latitude Radians,Longitude Radians,Timezone,Daylight savings time flag,geopoint
98105,Seattle,WA,47.66377,-122.30118,0.83188972,-2.13455827,-8,1,"47.66377, -122.30118"
98144,Seattle,WA,47.58577,-122.30081,0.830528364,-2.134551812,-8,1,"47.58577, -122.30081"
98122,Seattle,WA,47.61157,-122.30406,0.830978659,-2.134608536,-8,1,"47.61157, -122.30406"
98168,Seattle,WA,47.491327,-122.3027,0.828880022,-2.134584799,-8,1,"47.491327, -122.3027"
98108,Seattle,WA,47.546188,-122.31514,0.829837527,-2.134801918,-8,1,"47.546188, -122.31514"
98102,Seattle,WA,47.63287,-122.32253,0.831350414,-2.134930898,-8,1,"47.63287, -122.32253"
98198,Seattle,WA,47.397521,-122.315,0.827242799,-2.134799475,-8,1,"47.397521, -122.315"
98104,Seattle,WA,47.60252,-122.32855,0.830820706,-2.135035967,-8,1,"47.60252, -122.32855"
98164,Seattle,WA,47.606139,-122.33186,0.83088387,-2.135093737,-8,1,"47.606139, -122.33186"
98154,Seattle,WA,47.60632,-122.33357,0.830887029,-2.135123582,-8,1,"47.60632, -122.33357"
98101,Seattle,WA,47.61067,-122.33438,0.830962951,-2.135137719,-8,1,"47.61067, -122.33438"
98174,Seattle,WA,47.604718,-122.33523,0.830859069,-2.135152555,-8,1,"47.604718, -122.33523"
98134,Seattle,WA,47.57867,-122.33441,0.830404445,-2.135138243,-8,1,"47.57867, -122.33441"
98133,Seattle,WA,47.733852,-122.34461,0.833112882,-2.135316267,-8,1,"47.733852, -122.34461"
98103,Seattle,WA,47.671346,-122.34166,0.832021947,-2.135264779,-8,1,"47.671346, -122.34166"
98148,Seattle,WA,47.443756,-122.33068,0.828049752,-2.135073142,-8,1,"47.443756, -122.33068"
98121,Seattle,WA,47.61487,-122.34578,0.831036254,-2.135336687,-8,1,"47.61487, -122.34578"
98109,Seattle,WA,47.630648,-122.34675,0.831311632,-2.135353617,-8,1,"47.630648, -122.34675"
98166,Seattle,WA,47.458821,-122.34943,0.828312686,-2.135400391,-8,1,"47.458821, -122.34943"
98106,Seattle,WA,47.53282,-122.35443,0.829604212,-2.135487658,-8,1,"47.53282, -122.35443"
98177,Seattle,WA,47.740886,-122.36978,0.833235649,-2.135755566,-8,1,"47.740886, -122.36978"
98146,Seattle,WA,47.501753,-122.35688,0.82906199,-2.135530418,-8,1,"47.501753, -122.35688"
98119,Seattle,WA,47.63877,-122.36694,0.831453388,-2.135705999,-8,1,"47.63877, -122.36694"
98107,Seattle,WA,47.66747,-122.37468,0.831954298,-2.135841087,-8,1,"47.66747, -122.37468"
98117,Seattle,WA,47.685919,-122.37838,0.832276293,-2.135905664,-8,1,"47.685919, -122.37838"
98126,Seattle,WA,47.54687,-122.3748,0.829849431,-2.135843181,-8,1,"47.54687, -122.3748"
98136,Seattle,WA,47.538887,-122.38803,0.829710101,-2.136074089,-8,1,"47.538887, -122.38803"
98199,Seattle,WA,47.64767,-122.39758,0.831608722,-2.136240767,-8,1,"47.64767, -122.39758"
98116,Seattle,WA,47.57487,-122.39392,0.830338123,-2.136176888,-8,1,"47.57487, -122.39392"
98644,Seaview,WA,46.332077,-124.05517,0.808647293,-2.165171171,-8,1,"46.332077, -124.05517"
98284,Sedro Woolley,WA,48.518653,-122.16545,0.846810243,-2.132189335,-8,1,"48.518653, -122.16545"
98381,Sekiu,WA,48.283826,-124.37144,0.842711739,-2.170691123,-8,1,"48.283826, -124.37144"
98942,Selah,WA,46.726395,-120.56997,0.81552944,-2.104342956,-8,1,"46.726395, -120.56997"
98382,Sequim,WA,48.079979,-123.09916,0.839153938,-2.148485648,-8,1,"48.079979, -123.09916"
98286,Shaw Island,WA,48.575362,-122.96643,0.847800002,-2.146169073,-8,1,"48.575362, -122.96643"
98584,Shelton,WA,47.224044,-123.10538,0.824215054,-2.148594208,-8,1,"47.224044, -123.10538"
98113,Shoreline,WA,47.763669,-122.35384,0.833633287,-2.13547736,-8,1,"47.763669, -122.35384"
98287,Silvana,WA,48.037258,-121.682271,0.838408316,-2.12375627,-8,1,"48.037258, -121.682271"
98585,Silver Creek,WA,46.528282,-122.57616,0.812071716,-2.139357576,-8,1,"46.528282, -122.57616"
98383,Silverdale,WA,47.667257,-122.69055,0.83195058,-2.141354059,-8,1,"47.667257, -122.69055"
98315,Silverdale,WA,47.720777,-122.71309,0.83288468,-2.141747456,-8,1,"47.720777, -122.71309"
98645,Silverlake,WA,46.318482,-122.7757,0.808410015,-2.142840206,-8,1,"46.318482, -122.7757"
98647,Skamokawa,WA,46.296658,-123.46828,0.808029115,-2.154928008,-8,1,"46.296658, -123.46828"
98288,Skykomish,WA,47.658047,-121.41445,0.831789835,-2.119081912,-8,1,"47.658047, -121.41445"
98290,Snohomish,WA,47.930902,-122.03976,0.836552053,-2.12999563,-8,1,"47.930902, -122.03976"
98291,Snohomish,WA,47.909511,-122.050108,0.83617871,-2.130176237,-8,1,"47.909511, -122.050108"
98296,Snohomish,WA,47.846083,-122.11068,0.835071683,-2.131233418,-8,1,"47.846083, -122.11068"
98065,Snoqualmie,WA,47.530639,-121.83053,0.829566146,-2.126343878,-8,1,"47.530639, -121.83053"
98068,Snoqualmie Pass,WA,47.397811,-121.39603,0.82724786,-2.118760422,-8,1,"47.397811, -121.39603"
98851,Soap Lake,WA,47.400024,-119.4624,0.827286484,-2.085012212,-8,1,"47.400024, -119.4624"
98586,South Bend,WA,46.560786,-123.85214,0.812639018,-2.161627629,-8,1,"46.560786, -123.85214"
98943,South Cle Elum,WA,47.186592,-120.95503,0.823561393,-2.11106352,-8,1,"47.186592, -120.95503"
98384,South Colby,WA,47.521803,-122.539637,0.829411929,-2.13872013,-8,1,"47.521803, -122.539637"
98389,South Prairie,WA,47.137872,-122.09356,0.822711069,-2.130934617,-8,1,"47.137872, -122.09356"
98385,South Prairie,WA,47.138345,-122.09819,0.822719324,-2.131015426,-8,1,"47.138345, -122.09819"
98485,South Prairie,WA,47.140655,-122.100892,0.822759641,-2.131062585,-8,1,"47.140655, -122.100892"
98386,Southworth,WA,47.51037,-122.499139,0.829212385,-2.138013306,-8,1,"47.51037, -122.499139"
98387,Spanaway,WA,47.077796,-122.40517,0.821662545,-2.136373238,-8,1,"47.077796, -122.40517"
99031,Spangle,WA,47.432691,-117.37449,0.827856631,-2.048571308,-8,1,"47.432691, -117.37449"
99216,Spokane,WA,47.665819,-117.21699,0.831925482,-2.045822415,-8,1,"47.665819, -117.21699"
99206,Spokane,WA,47.646994,-117.25912,0.831596924,-2.046557722,-8,1,"47.646994, -117.25912"
99213,Spokane,WA,47.656726,-117.282483,0.831766779,-2.046965483,-8,1,"47.656726, -117.282483"
