,country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,country_code
10,Venezuela,183.87995342465754,181.46939452054792,185.72887123287668,201.42559016393443,200.37061643835614,209.87436438356164,212.34175342465755,230.82160109289617,257.2587397260274,259.42460273972597,275.92171780821917,280.302150273224,314.78855890410955,330.8723698630137,354.42964931506856,423.401349726776,448.3381671232877,444.53905753424664,435.2406520547945,408.3846475409837,418.09434794520547,435.2023890410959,418.9150438356164,433.39149999999995,422.64955068493157,427.92507945205483,412.72949315068496,488.0998770491804,450.2392767123288,498.64068493150694,484.03287671232874,403.3307103825137,432.10884931506854,474.19643835616444,506.7374246575342,510.46322404371585,572.2312328767124,602.7427397260274,506.51824657534235,544.7058469945355,605.7845479452055,667.5758356164384,640.2920273972603,716.0892622950819,726.2323287671234,725.4184657534247,737.2021095890411,792.1318032786885,782.4553021308978,720.0131304536661,637.0211386631177,537.3325052864833,462.8568696480959,402.42999430638855,355.7671536061457,VEN
11,Central America,78.47648286252401,79.31374474192552,83.42386591579013,84.8614394292591,90.3444895884554,93.43999577859002,97.90331257264357,106.31581649041918,111.76384964395334,113.44509268182836,125.96852644442323,128.68819094118945,130.9331832406806,132.71067329979428,132.66882244071672,124.76484699586811,123.74397712341413,123.55386905947874,121.91715673071164,119.0229200832165,120.58764835629081,120.67895995719176,129.6377614196762,125.83854725751365,131.82882780821916,135.89954273972606,147.94234095890408,167.47383546448089,179.6574332876712,197.05055657534243,218.4127209589041,212.5983499453552,231.30181616438358,264.79226657534247,262.1861917808219,269.1308517267759,288.3679045424658,288.2133876164383,301.2963924065186,307.8961489005929,307.5513519053982,323.87584546154994,343.6174754356176,342.8170839776652,341.9873787525781,346.7726561369332,366.1532924254723,369.169470766758,372.12982075623887,386.4443294742267,419.4345450365557,434.2926394010058,442.7731643378246,443.96569841696055,459.3554038828329,
12,Other Caribbean,345.73541156901524,357.9634379999632,373.3710523425378,380.6199220077671,392.497579625148,445.5573101193901,455.8247421523779,486.38474541006207,526.5382854790935,523.5940821699896,511.6119536024913,518.1780394403704,545.2533828225676,559.7989128471617,576.8584018776658,657.1014761287287,665.9733659389818,575.7878600607347,547.9241352246304,582.6665980761366,545.1134531049834,532.8985195085244,552.6304194099131,556.6944588374995,589.7857781461875,581.1804996684356,568.8431528061615,538.0191897651821,542.9131538118432,573.7326286453792,576.695211858075,600.1419295674993,639.9273982592068,661.692288326406,638.1114348370647,720.8959492766905,726.7849408706273,734.2017302422704,723.9428313222278,723.0469238351793,731.2793663207202,738.015140561021,712.1708665698931,688.2423128829478,645.7273362397283,634.1378678378558,631.1574953955732,617.2887874348087,594.7535496270352,581.8258341052845,603.3649115871954,620.1938386360177,611.8355957869736,629.0555540760552,614.7291760030531,
13,Other South America,45.85018744867649,47.31780469956762,50.610742422803796,52.14994560479138,56.10709225747565,58.36842098889345,62.978744729920514,73.31566048468827,74.05274718351023,65.95431394426402,75.47693780197105,76.9210332780325,81.48559533056948,92.30047044787965,97.19015290826286,94.51131364845267,91.07662302820331,85.54859821739782,74.5362941070033,74.44281546547245,81.32164738439769,80.92354608865496,83.0698528440469,90.46735349756717,91.25585487663102,87.08716595834044,90.39951484442534,94.30232609112971,98.5909412271278,109.05540221222002,123.38474967565605,127.63111840404565,130.3270521915613,133.4601278221254,143.95365298187983,123.27592159181063,120.69874205177192,119.59481293581356,127.16072893810403,135.71287139528243,134.30770470223905,134.44254601331562,144.29862468673196,158.73368021510106,169.8558440368445,181.1734154771071,175.64260837000035,182.06771100462475,184.60070413997312,181.98993274704637,193.85559231492886,200.97953759814658,212.5302273135835,214.93311378973408,219.72396543266692,
14,Austria,106.6528493150685,118.20578082191781,125.64857534246575,144.3210382513661,158.6869315068493,175.70780821917808,196.2132328767123,211.85945355191257,230.3962465753425,207.13071232876715,209.7801917808219,225.925737704918,218.23356164383563,236.52243835616437,246.0777260273973,240.05751366120217,219.2166575342466,208.70172602739726,204.02805479452053,198.3083606557377,200.05789041095892,210.22112328767122,216.6853698630137,215.31699453551911,213.57884931506854,222.71835254157793,240.85833170789172,234.1824526088937,236.67332790582194,234.14660908671635,232.33005440494398,239.74916565119082,244.74013931246435,253.49363473342783,249.61870015196405,242.63227585014872,263.20688116613235,269.65586232753066,291.24594677975193,282.984561641112,281.7240727187902,281.9436856689453,265.1985342098138,262.20004837525744,249.55981525349821,262.37347596592735,245.35695834870637,245.26255524119634,253.31175068123926,243.1314674036347,242.1421305591389,249.84480318815636,253.6576497457459,257.68289646078193,262.9620540290331,AUT
15,Belgium,312.1127123287672,318.6681095890411,350.3951232876713,405.10338797814205,468.28786301369865,511.70936986301376,525.2078630136984,566.8854098360656,597.8955068493151,529.3600547945206,503.7659452054795,523.6178961748633,516.7769589041096,551.4397260273971,550.659095890411,505.61658469945354,465.80931506849316,441.18323287671234,403.85608219178084,392.45442622950816,400.1878356164383,449.96835616438364,454.61309589041093,466.33133879781417,459.9922739726028,493.18034959384187,526.9493277884706,535.1116558096708,526.9118835797375,583.4689484112885,578.4400633768577,623.9240391729699,638.5168828566891,647.1002055503964,626.5079831835603,643.4298392363064,654.1962192463808,654.6840435564746,685.7909151586638,690.5376770164863,689.6785440041269,684.3310870485437,689.3953249869935,725.9293821764122,668.3652672218819,691.4610182876979,648.8563942257803,630.5815805658617,650.5733029121765,648.5413070300768,669.1195991146859,674.3281783736209,684.644475005176,702.1945985718431,682.9653672112321,BEL
16,Bulgaria,71.22095890410958,81.12865753424659,101.82736986301371,120.45715846994536,148.47169863013698,172.55287671232878,189.4688219178082,196.5106557377049,207.97816438356165,216.24175342465753,229.28246575342467,238.0320218579235,248.33775342465754,255.43419178082192,262.834301369863,271.33565573770494,242.9901369863014,236.08027397260275,229.248,220.34450819672134,201.85312328767128,212.82693150684932,204.88350684931507,216.95639344262295,212.91306849315066,195.88289145942585,130.3174164961723,117.40451941193125,127.66843026022714,120.3720635898538,123.94892768671743,116.81884972369083,92.0211700284775,98.23029594611468,89.82919180731577,89.05697629897321,95.79862927538728,97.14141117252714,103.08192028453253,100.37652195758508,109.18406845761655,112.38510188230748,110.7539187047253,106.3022882620233,96.5054087250592,85.68121127925507,81.53699796556447,84.71937115533756,78.86977569360602,84.29865272224113,94.57156124276983,95.3196817033799,99.24249145810897,99.13068307233836,104.2953565597833,BGR
17,Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,91.9629315068493,65.77134246575343,65.5916393442623,69.6426301369863,72.35249315068494,79.59323287671234,75.18398907103825,80.47928767123287,89.94424657534246,88.95010958904109,79.5514480874317,80.82301369863013,84.60728767123288,93.12876712328767,88.03044535519129,91.44059452054793,93.16305205479453,95.34654820169048,90.83018026929992,88.72220372831185,76.33793698630137,72.47363561643836,64.99182786885245,63.04918630136986,65.4053808219178,67.90520000000002,68.2088743169399,72.90003835616437,70.75578630136987,68.45039723389884,HRV
18,Cyprus,7.726465753424657,8.848876712328765,9.622136986301369,10.59554644808743,12.553671232876713,13.261671232876711,15.827972602739726,17.665163934426232,19.006986301369864,16.943616438356166,14.336082191780822,14.535437158469945,15.898849315068494,16.57109589041096,16.861753424657532,16.971448087431693,16.38079452054794,19.519150684931503,20.36041095890411,20.936202185792354,20.896301369863014,22.47057534246575,26.288438356164384,28.086857923497266,29.138356164383563,30.871616438356167,31.538054794520544,36.19467213114754,37.84413698630137,37.497013698630134,39.79605479452055,40.46931693989072,41.511671232876715,45.11747945205478,47.23917808219178,49.08308743169399,49.48328767123287,49.081890410958906,52.17682191780821,50.66210382513661,56.64958904109588,56.04813698630136,57.044608755375805,58.01354494210078,57.074118524996095,55.45852054794522,54.625205479452056,51.06092896174864,45.678164383561636,45.47339726027397,46.465479068493146,50.52567431693988,52.33846999570389,51.695841917808224,51.57152249315069,CYP
19,Czech Republic,78.0833698630137,85.892,95.49898630136985,105.5605737704918,113.45824657534246,136.7287123287671,151.1802191780822,164.67434426229508,184.89701369863013,188.95512328767126,208.0715342465753,218.7240710382514,229.6887397260274,237.85046575342466,241.89098630136988,224.6487704918033,222.37854794520547,206.05471232876715,201.92419178082193,215.62297814207648,211.74397260273975,205.1037808219178,205.3934794520548,197.9945081967213,189.61989041095893,173.57706849315068,142.95197260273972,137.95532315673736,140.17161350746662,146.72939824301844,167.02360604678682,174.53429068126704,167.8006231424391,172.5739719950163,171.8394859395434,165.9237609626635,176.20669251313177,171.0021859453566,182.88718545628103,201.1056988220375,210.1053468508385,206.39733805892433,204.80224657534242,205.75587431693987,199.08920547945203,188.52391780821915,193.66885602640127,191.3521981933469,183.43123069658674,194.153237696713,188.57069430583797,174.59544805651805,209.4685246050064,211.60617463296734,213.37905046270922,CZE
