,country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,country_code
10,Other S. & Cent. America,47.13452054794519,54.41109589041096,78.21424657534249,84.57131147540983,83.80465753424659,63.94671232876713,80.38465753424657,89.23715846994537,89.73890410958904,85.59616438356164,77.88,77.64612021857923,68.01361643835615,65.87232876712329,66.2547397260274,80.05565573770491,87.10419178082194,99.37758904109589,97.91369863013699,94.68762295081966,91.15983561643836,88.82386301369863,85.64846575342466,77.0825956284153,76.18542465753426,77.25465753424658,77.18813698630137,76.02284153005465,82.52950684931506,89.50054794520548,96.40252054794522,101.75590163934427,107.61394520547944,124.93087671232877,123.53161643835617,125.52049180327867,133.6087397260274,149.10705479452056,149.24101369863013,143.4053191324843,143.09826170635398,138.6865109197552,148.46378132550427,143.11874173375108,135.67441847758676,144.33617941111862,144.43111641504314,147.10313284047828,151.7236074749501,154.70351388355445,145.500263570355,134.89982916593186,133.01712629939482,126.78630304951156,117.73603415597022,
11,Denmark,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.0000000000000004,3.0,2,3.0,4.000000000000001,10.000000000000002,8,8.0,5.999999999999999,15.000000000000002,34.00000000000001,42.99999999999999,47,60.00000000000001,74.0,93.0,95.99999999999999,112.0,121.0,142.0,156.99999999999997,167.99999999999997,185.0,186.0,208.0,230.0,238.0,299.0,363.0,348.00000000000006,371.00000000000006,368.0,389.99999999999994,379.97549780821925,345.53852986301376,311.2730931780822,287.2285459836066,264.7752142191781,249.45960065753422,224.507517260274,204.23533494535522,178.17798887671236,166.84044769863016,157.79915583561643,141.70371928961748,138.24625432876712,115.87670241095891,102.95639084931508,DNK
12,Italy,47.76627397260273,39.07699178082191,36.55973698630137,34.582825136612016,33.86123561643836,31.899301369863014,28.538024657534244,25.47182513661202,23.356471232876714,23.37451506849315,26.88218904109589,28.217043715846998,27.102539726027395,31.397035616438355,36.22589863013699,35.49469398907104,31.04531506849315,36.83852876712329,46.7275397260274,47.2616393442623,49.68517260273972,53.270139726027395,81.80945753424658,100.23185519125683,95.67474520547947,97.00966849315068,90.0265287671233,93.25232513661203,96.3747397260274,101.64715890410957,108.79603287671235,112.9193169398907,123.51423013698633,116.75397260273974,104.16662191780823,94.90613387978142,85.66861095890413,114.76688219178082,115.56920547945207,113.16259562841532,126.78149589041097,119.68302739726028,121.5776202341096,108.33095053442622,94.86296126232875,105.94095080273974,110.09963248630139,111.64945790368851,114.13073137972602,119.58890892410959,113.4675572673507,77.77725481137159,86.042492460274,97.15947688575343,88.74614855205479,ITA
13,Norway,n/a,n/a,n/a,n/a,n/a,n/a,6,33,32.00000000000001,35,189.0,279,287.0,356,407.00000000000006,528,512,532.0,660.9999999999999,751.9999999999999,822.9999999999999,906.9999999999999,1054.0,1196.0,1567.0,1716.0,1955.0000000000002,2217.0,2377.0,2693.0000000000005,2902.9999999999995,3231.9999999999995,3279.9999999999995,3138.0,3139.0,3325.6030160138694,3395.339083102282,3313.7519082917984,3244.5297010742524,3172.9268396796315,2953.9246947879315,2764.3863143353233,2542.6059676655013,2458.1024282625676,2342.6792151618433,2132.6823033336987,2033.0126870921442,1911.12299136716,1832.0402406280527,1880.5309075766895,1940.076408029852,1990.9200673763091,1965.0332052610909,1845.4727776849768,1730.6942088835015,NOR
14,Romania,265.77591780821916,271.00205479452063,278.84126027397264,279.70040983606555,281.0889315068493,283.784301369863,292.34364383561643,298.41879781420766,303.9325205479452,308.0270136986301,311.30657534246575,312.71311475409834,312.541095890411,293.48832876712333,264.66227397260275,250.1191530054645,253.54093150684932,255.55731506849318,252.49158904109586,248.92904371584697,235.62789041095888,223.42671232876714,210.64942465753424,205.44095628415295,201.55953424657534,169.0478904109589,145.91016438356166,141.7580601092896,144.27679452054795,145.3689589041096,144.87197260273976,142.38158469945355,140.7284109589041,136.7621643835616,133.14246575342466,131.74158469945354,130.8926301369863,127.86931506849317,123.86687671232875,119.77710382513659,114.35575342465752,105.24841095890412,99.90471232876712,98.80770491803278,93.80290410958904,89.53994520547946,88.51630136986302,83.07049180327868,85.98282191780822,84.36857534246575,83.49484931506849,79.31,75.84652054794522,74.61769863013699,74.81534246575342,ROU
15,United Kingdom,1.7398356164383564,1.6155616438356164,1.8433972602739723,1.735081967213115,1.792109589041096,3.5191232876712326,4.899945205479452,7.861967213114754,8.825424657534246,9.762410958904109,33.85939726027397,254.43224043715844,798.6334246575343,1127.2792328767123,1623.398794520548,1676.1385792349727,1867.7111232876712,2166.716602739726,2422.0737534246573,2652.127759562841,2695.4223561643835,2690.9876164383563,2612.3218630136985,2413.9010928961743,1943.294136986301,1932.8096438356165,1933.555397260274,1995.892459016393,2134.836712328767,2694.4375890410956,2769.1562739726023,2755.09781420765,2721.4492054794523,2848.726410958904,2949.542356164384,2709.815009836065,2513.5577526027396,2499.754635890411,2291.130509315068,2059.272222404372,1837.7749841095888,1661.6289865753427,1654.6530252054793,1554.3623972677597,1473.8782761643836,1358.159949589041,1113.791569589041,947.2613601092896,865.3436778082194,853.5541109589042,963.5287679452053,1014.8080424644809,1005.4250438054795,1091.7611609972603,1117.522215830946,GBR
16,Other Europe,470.47194520547947,486.6779726027397,506.9918356164384,517.6376775956285,530.0449589041096,528.2369589041097,509.3117260273972,504.31401639344256,509.0549589041096,509.8181643835617,507.51210958904113,494.07292349726777,481.4483561643835,489.83205479452056,508.41093150684924,483.81549180327875,469.9829863013699,492.68726027397264,529.6808767123288,531.3603005464481,701.1488767123288,705.3062739726029,683.9842465753424,662.0808743169398,641.8854520547944,631.9097808219178,636.0604657534248,600.6921857923497,556.0426575342467,558.7398630136987,531.4233698630137,502.62456284152995,481.2187452054795,463.41936438356163,431.9095533150685,419.5172077868853,419.373363479452,433.9897735342465,437.61876284931503,429.3562412568306,408.40052608767115,399.3367082739726,397.3685204715015,377.4555933661061,356.6866588015171,341.64436368130754,336.27189357427056,335.97468276083146,344.2512495259387,339.2065873258342,331.35787527497075,313.2705356971498,302.86666865323383,307.55356496646795,298.031665270566,
17,Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,273.5178082191781,268.38904109589043,285.67397260273975,279.9781420765027,268.2109589041096,254.33150684931508,239.72057534246576,227.53718579234973,207.40408219178082,193.42175342465754,185.0685205479452,183.2893989071038,182.30657534246578,230.69561643835613,278.7186301369863,281.18497267759557,300.1553424657534,307.0395890410959,307.9339726027397,308.6536885245902,444.91860273972605,646.1666849315069,875.5329315068493,915.831120218579,1026.6706575342466,1036.7168767123285,932.0758082191782,882.3212295081967,888.3813287671233,861.1753561643837,850.847602739726,837.523510928962,792.755095890411,795.659191780822,778.5947854784969,AZE
18,Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,484.76712328767127,502.79369863013693,523.0638356164383,545.0893442622951,556.3876712328768,570.7446575342466,588.6821917808219,568.8825136612022,507.35616438356163,445.8535890410959,450.4388767123288,493.12330601092896,556.8730684931508,558.4914246575343,655.6265205479452,740.2079234972678,841.4902465753426,992.5779999999999,1080.63777260274,1247.9324106595134,1294.5542530265288,1369.8752460681417,1415.0232936392565,1485.2467924216435,1609.481372599735,1675.710345764963,1684.1450089901957,1664.1310341892636,1736.7022153836908,1709.566794932799,1694.7578857313702,1654.9720762072739,1838.0560611627757,1927.045785453013,1930.9697838068082,KAZ
19,Russia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10862.591671232878,11246.881643835617,11416.333424657534,11372.755355191257,11070.06410958904,10342.44312328767,9263.695999999998,7978.186338797815,7118.856273972602,6370.724712328768,6235.776931506849,6061.591967213114,6170.674849315068,6109.998246575343,6118.780054794522,6582.837881147541,7105.859497260273,7754.790855616438,8602.47518750685,9335.081578797815,9597.655158283103,9833.509728783783,10057.140786589716,9964.512396016227,10152.260439387912,10378.619940085853,10533.363502873139,10655.733492474854,10806.839889771443,10860.088092506396,11006.677421815364,11268.790248538497,11254.691436153726,11438.125687909343,11539.572729501093,RUS
