API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
INTL.4418-1-BIH-QBTU.A,        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0.034893908,0.024153987,0.035321984,0.037195384,0.05277536,0.047061504,0.045998667,0.056007802,0.051443643,0.052997957,0.053052195,0.045117,0.059284704,0.059374062,0.057510362,0.039150524,0.047476572,0.06028752,0.077521176,0.042206304,0.039719784,0.068361265,0.05589027,0.051543389,0.052123872,0.03694413
INTL.4418-1-BWA-QBTU.A,        Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019082,0.00001902,0.000018638,0.000018464,0.000018426
INTL.4418-1-BRA-QBTU.A,        Brazil,1.437511884,1.467383842,1.61443954,1.78682084,2.006197272,2.141585972,2.15607867,2.208129372,2.333311452,2.41485423,2.43244701,2.577494744,2.600435134,2.703360062,2.814803176,2.93547892,3.106845504,3.242794235,3.334541418,3.342729068,3.393810157,3.090569256,3.267698793,3.507833205,3.634703472,3.835745154,3.973210463,4.36088155,4.453315863,4.600757018,4.88078787,5.020224603,4.878987065,4.805533432,4.763010832,4.730356626,4.986985789,4.262431302
INTL.4418-1-VGB-QBTU.A,        British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07316E-05,1.06876E-05,1.04676E-05,1.04951E-05,0.000010461,1.21147E-05,1.20016E-05,1.19769E-05
INTL.4418-1-BRN-QBTU.A,        Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019032,0.000019082,0.00001902,0.000018638,0.000009232,0.000018426
INTL.4418-1-BGR-QBTU.A,        Bulgaria,0.038165512,0.03742174,0.031550172,0.03490536,0.03367944,0.023129658,0.024046692,0.026172528,0.026522356,0.027769984,0.019337318,0.025223812,0.021118364,0.019824207,0.014989148,0.023624792,0.0298826,0.027840638,0.031284396,0.028162404,0.027144861,0.01777276,0.022207659,0.030425625,0.031610496,0.043155684,0.041887937,0.028643832,0.029303915,0.036689099,0.056713191,0.038556959,0.051433874,0.067689412,0.072511673,0.084671983,0.069222955,0.056190087
INTL.4418-1-BFA-QBTU.A,        Burkina Faso,0,0,0,0,0,0,0,0,0,0,0.000093618,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.00117876,0.001174495,0.000795366,0.001257798,0.000989497,0.000547649,0.000651072,0.000972,0.0010016,0.000989901,0.00079352,0.00108724,0.00133029,0.00127856,0.001190232,0.00087444,0.001008696,0.00110771,0.000962412,0.000992474,0.001449424,0.001455654
INTL.4418-1-MMR-QBTU.A,        Burma,0.008185744,0.008895503,0.009586318,0.01034116,0.01044,0.010373871,0.010769826,0.010554447,0.009560024,0.011819456,0.012284762,0.012815408,0.015544026,0.017401592,0.016484968,0.016581696,0.01689556,0.017045497,0.00958518,0.010512328,0.019106473,0.018640732,0.02248233,0.0225585,0.023878144,0.029687031,0.032673186,0.03543414,0.039731328,0.0508008,0.04933219,0.072364768,0.07322562,0.083426504,0.08326005,0.087095374,0.089836592,0.115650789
INTL.4418-1-BDI-QBTU.A,        Burundi,0.000020776,0.000020906,0.000020908,0.00024196,0.00040716,0.000480562,0.000637206,0.000979386,0.001063372,0.001064064,0.001113014,0.00114796,0.001075568,0.001113372,0.001176024,0.001206504,0.00120978,0.00122556,0.001111473,0.000991922,0.000999698,0.001177962,0.001281798,0.0010125,0.00090144,0.000949905,0.000912548,0.001146544,0.001093794,0.0011712,0.001433156,0.00131166,0.001398852,0.001412068,0.0014265,0.001369893,0.00143096,0.0018426
INTL.4418-1-CPV-QBTU.A,        Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000020618,0.00005158,0.000061872,0.00007238,0.000071491,0.000081576,0.000081808,0.000081608,0.000061998,0.000061038,0.000050625,0.000060096,0.000059994,0.000069433,0.000069188,0.000059124,0.00006832,0.000039024,0.0002429,0.000675636,0.000791903,0.0008559,0.000792115,0.000766256,0.000764679
