API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
INTL.4701-34-BRA-BDOLPPP.A,        Brazil,1399.532,1338.119,1345.898,1300.088,1369.892,1478.633,1602.958,1656.32,1652.17,1705.593,1643.328,1660.48,1651.26,1732.337,1833.479,1911.069,1947.495,2019.958,2027.051,2036.684,2124.127,2156.094,2221.233,2247.06,2368.848,2454.991,2552.212,2703.939,2833.008,2837.632,3052.084,3177.44,3228.437,3331.797,3349.229,3230.752,3117.758,3168.316,3206.365,3242.657
INTL.4701-34-VGB-BDOLPPP.A,        British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,0.188978,0.205301,0.258426,0.317599,0.394952,0.516377,0.643964,0.796257,0.858433,0.948689,1.04697,1.14725,1.24535,1.3028,1.25916,1.10098,1.14213,1.30586,1.29036,1.27854,1.26052,1.24496,1.24379,1.20823,1.19967,1.24156,1.26259,1.27208,1.36242,1.39555,1.43841,1.48834
INTL.4701-34-BRN-BDOLPPP.A,        Brunei,NA,NA,NA,NA,NA,NA,NA,NA,22.634,23.1336,23.3856,24.1213,25.2692,25.3461,26.1434,27.3143,28.1004,27.6864,27.5313,28.3718,29.1812,29.9822,31.1431,32.0473,32.2089,32.3338,33.7556,33.807,33.1526,32.5671,33.4135,34.6646,34.9812,34.2379,33.3792,33.244,32.4243,32.8552,32.8723,34.1442
INTL.4701-34-BGR-BDOLPPP.A,        Bulgaria,67.3467,70.5444,72.1882,74.6692,77.1997,79.27991,82.639,87.69541,97.1792,93.8451,85.2577,78.07091,72.4425,71.4236,72.7455,90.3706,96.4209,82.47559,86.1174,79.0258,82.4722,85.6718,90.6606,95.3491,101.5913,108.7457,116.0875,124.0586,131.4463,126.7929,127.4533,130.6293,130.9307,131.1957,133.8655,139.1447,144.4637,149.523,154.3105,159.5374
INTL.4701-34-BFA-BDOLPPP.A,        Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,8.8877,9.07919,9.0239,9.84272,9.86516,10.2073,10.3411,10.9324,12.1365,12.9032,13.8461,14.7103,14.9883,15.9795,16.6753,17.9762,18.7813,20.4082,21.6843,22.5757,23.885,24.5928,26.67,28.4359,30.2709,32.0244,33.4102,34.72,36.7887,39.0535,41.7166,44.2152
INTL.4701-34-MMR-BDOLPPP.A,        Burma,NA,NA,NA,NA,NA,NA,NA,NA,28.0144,29.0496,29.8679,29.6735,32.5403,34.5055,37.0858,39.6626,42.2179,44.6039,46.8134,51.9372,59.0764,65.7781,73.6883,83.8897,95.269,108.196,122.344,137.014,151.066,167.003,183.966,194.253,208.497,226.065,244.129,261.201,276.514,295.202,313.505,331.358
INTL.4701-34-BDI-BDOLPPP.A,        Burundi,NA,NA,NA,NA,NA,NA,NA,NA,5.06714,5.13578,5.31947,5.64788,5.72934,5.33872,5.16347,4.74809,4.35908,4.37314,4.5882,4.63881,4.72499,4.79312,4.91489,5.03211,5.21845,5.44875,5.74521,5.94614,6.2314,6.47001,6.80113,7.07306,7.38716,7.83139,8.18359,7.856,7.77508,7.77438,7.78804,7.81931
INTL.4701-34-CPV-BDOLPPP.A,        Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,0.917841,0.970148,0.976824,0.990565,1.02071,1.09536,1.17125,1.25897,1.34328,1.44589,1.56754,1.75348,1.88088,1.99631,2.10177,2.2002,2.29437,2.44398,2.69184,2.92466,3.11916,3.07954,3.12471,3.24872,3.28387,3.31023,3.33046,3.364,3.5223,3.6527,3.83817,4.04925
INTL.4701-34-KHM-BDOLPPP.A,        Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,9.16215,9.13844,9.24447,9.94581,10.645,11.0805,11.931,12.6375,13.2189,13.9618,14.6611,16.4072,17.8457,19.2998,20.5696,22.3192,24.6272,27.8903,30.8943,34.0494,36.3279,36.3594,38.5275,41.2512,44.2681,47.5563,50.9192,54.502,58.2531,62.4261,67.1068,71.4927
INTL.4701-34-CMR-BDOLPPP.A,        Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,40.9664,40.2211,37.7654,36.327,35.2009,32.4087,33.0971,34.2455,35.7389,37.6085,39.3018,40.9886,42.4458,44.2992,46.1766,48.2851,51.5595,52.601,54.42,57.0881,59.0799,60.3787,62.445,65.0236,67.9774,71.6515,75.8674,80.155,83.7185,86.8579,90.0868,93.4912
INTL.4701-34-CAN-BDOLPPP.A,        Canada,714.602,739.428,715.86,734.482,777.878,814.731,832.206,866.102,904.297,925.25,926.774,907.441,915.608,939.972,982.22,1008.68,1025.012,1068.882,1110.528,1167.865,1228.331,1250.318,1288.053,1311.259,1351.737,1395.049,1431.798,1461.463,1476.139,1432.949,1477.226,1523.702,1550.533,1586.646,1632.183,1642.944,1659.395,1712.01,1746.483,1775.406
INTL.4701-34-CYM-BDOLPPP.A,        Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,1.23595,1.3452,1.52274,1.54323,1.59069,1.66682,1.75525,1.83958,1.93143,2.03761,2.65456,2.74441,2.77128,2.78671,2.83478,2.89148,2.91744,3.10693,3.24987,3.2769,3.34067,3.10013,3.01594,3.0512,3.08872,3.12823,3.21127,3.30225,3.4045,3.50798,3.62288,3.706
INTL.4701-34-CAF-BDOLPPP.A,        Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37763,3.41748,3.372,3.36025,3.53419,3.71631,3.4358,3.64609,3.81209,4.03845,4.11607,4.14202,4.11675,3.82645,3.93237,4.02603,4.21743,4.38744,4.50209,4.58793,4.75145,4.8484,4.98893,3.158,3.19084,3.344,3.49552,3.64684,3.80514,3.97437
INTL.4701-34-TCD-BDOLPPP.A,        Chad,NA,NA,NA,NA,NA,NA,NA,NA,6.92371,7.05886,7.28488,8.04266,8.23504,8.06425,8.50729,8.44136,8.6199,9.10718,9.74031,9.67379,9.58866,10.7065,11.6156,13.3256,17.8069,19.2869,19.4118,20.047,20.661,21.5162,24.442,24.4713,26.6265,28.1583,30.0992,30.632,28.6621,27.7612,28.6188,29.3056
INTL.4701-34-CHL-BDOLPPP.A,        Chile,84.9816,88.983,79.7713,76.78309,82.9301,88.82991,93.79909,99.8646,107.136,118.7246,123.2261,132.8751,148.8776,159.1751,168.2221,186.2763,198.2575,212.8392,222.3322,221.1828,232.9846,240.6974,248.1649,258.3499,276.9008,292.9441,311.4606,326.7682,338.1746,332.9068,352.5176,373.7819,394.1755,410.265,417.318,426.735,433.69,439.799,457.354,462.028
INTL.4701-34-CHN-BDOLPPP.A,        China,753.463,791.889,863.16,956.382,1101.751,1249.386,1360.581,1519.768,1689.983,1760.962,1829.641,1999.798,2285.312,2602.507,2941.589,3264.258,3588.114,3919.929,4227.863,4552.601,4938.31,5349.16,5836.71,6421.65,7071.17,7876.51,8877.62,10142.4,11115.39,12165.16,13456.06,14741.28,15898.14,17133.53,18399.92,19691.32,21040.15,22501.85,24020.67,25488.37
INTL.4701-34-COL-BDOLPPP.A,        Colombia,NA,NA,NA,NA,NA,NA,NA,NA,254.74,264.458,275.402,282.913,294.829,311.658,325.184,342.102,349.135,361.111,363.169,347.901,358.847,364.868,374.005,388.659,409.386,427.592,456.313,487.06,503.052,508.785,531.654,568.592,590.84,621.173,649.12,668.307,682.257,691.532,708.925,732.038
INTL.4701-34-COM-BDOLPPP.A,        Comoros,NA,NA,NA,NA,NA,NA,NA,NA,1.11522,1.07975,1.13473,1.0735,1.16508,1.2001,1.13678,1.17782,1.1626,1.20946,1.22497,1.24854,1.38398,1.41627,1.4492,1.47969,1.50809,1.55088,1.59194,1.60467,1.66886,1.72226,1.78771,1.861,1.92056,2.00698,2.04913,2.072,2.1408,2.22249,2.29874,2.32191
INTL.4701-34-COG-BDOLPPP.A,        Congo-Brazzaville,NA,NA,NA,NA,NA,NA,NA,NA,14.0064,14.2536,14.3966,14.7415,15.1265,14.9783,14.1556,14.7197,15.6606,15.2789,15.8287,15.4169,16.5845,17.2163,18.0052,18.1507,18.7987,20.2363,22.8765,21.3634,22.7107,25.5869,29.416,29.7568,32.6124,31.7889,34.878,30.283,29.4351,28.5226,28.8151,28.5529
INTL.4701-34-COD-BDOLPPP.A,        Congo-Kinshasa,NA,NA,NA,NA,NA,NA,NA,NA,55.5374,54.8343,51.2326,46.9183,41.9919,36.336,34.9189,35.1633,34.8035,32.8486,32.3151,30.9352,28.7973,28.1925,29.0235,30.6424,32.7072,34.7138,36.561,38.8495,41.2682,42.4464,45.4635,48.589,52.0324,56.4458,61.7914,66.065,67.6501,70.1714,74.2119,77.4178
INTL.4701-34-COK-BDOLPPP.A,        Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-CRI-BDOLPPP.A,        Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,23.5216,24.7473,25.6079,26.3672,28.7921,30.8327,32.2163,33.5441,33.9593,35.8491,38.3448,39.8569,41.3847,42.8292,44.239,46.1216,48.1217,49.9844,53.6022,57.9803,60.6762,60.0873,63.0628,65.7789,68.9343,70.4984,72.9767,75.627,78.8381,81.8814,84.0598,85.8115
INTL.4701-34-HRV-BDOLPPP.A,        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,59.1203,54.3907,57.5997,62.0916,65.7354,70.1762,71.6222,71.1054,73.4345,75.8878,79.7214,84.1894,87.677,91.4057,95.9758,100.9835,102.7074,95.15959,93.7543,93.5018,91.47859,90.9858,90.87691,93.0518,96.317,99.3559,102.0285,105.0491
INTL.4701-34-CUB-BDOLPPP.A,        Cuba,NA,NA,NA,NA,NA,NA,NA,NA,88.3725,88.9735,86.3501,77.1169,68.1863,58.0414,58.4575,59.894,64.5889,66.3814,66.4887,70.6048,74.7815,77.1633,78.2632,81.2321,85.9193,95.5421,107.072,114.846,119.575,121.31,124.21,127.691,131.541,135.155,136.571,142.632,143.365,145.958,149.24,149.884
INTL.4701-34-CYP-BDOLPPP.A,        Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3558,18.5842,19.075,20.2408,21.2526,22.5204,23.4106,24.2819,24.919,26.1713,27.4417,28.7353,30.2,31.3017,30.6702,31.2883,31.4143,30.331,28.344,27.8154,28.754,30.6941,32.0327,33.3322,34.4089
INTL.4701-34-CZE-BDOLPPP.A,        Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,194.1054,198.4135,210.2706,219.0351,217.8486,217.0946,219.7682,229.2843,236.2328,239.7521,248.336,259.9196,277.2683,296.5202,312.9952,320.8791,306.385,313.3785,318.8987,316.6295,316.491,323.649,341.335,349.6827,368.4207,380.0787,388.6966
